date	bikesHome	standsHome	bikesOffice	standsOffice
2019-09-20 20:24:00.240875	0	0	0	0
2019-09-20 20:37:05.317128	6	19	0	30
2019-09-20 20:52:58.346988	3	22	0	30
2019-09-20 21:14:00.686326	2	23	0	30
2019-09-20 23:36:01.799788	7	18	0	30
2019-09-20 23:37:02.386031	7	18	0	30
2019-09-21 07:00:02.564748	23	2	2	28
2019-09-21 07:05:02.284544	23	2	2	28
2019-09-21 07:10:02.103623	23	2	2	28
2019-09-21 07:15:01.839622	23	2	2	28
2019-09-21 07:20:02.578115	23	2	2	28
2019-09-21 07:25:02.309497	24	1	3	27
2019-09-21 07:30:02.092452	24	1	3	27
2019-09-21 07:35:01.768765	24	1	3	27
2019-09-21 07:40:02.664829	24	1	4	26
2019-09-21 07:45:02.356132	25	0	4	26
2019-09-21 07:50:02.148330	25	0	4	26
2019-09-21 07:55:01.916134	24	1	4	26
2019-09-21 08:00:01.728341	24	1	4	26
2019-09-21 08:05:02.404682	24	1	4	26
2019-09-21 08:10:02.220152	24	1	4	26
2019-09-21 08:15:01.882560	24	1	4	26
2019-09-21 08:20:02.615177	24	1	4	26
2019-09-21 08:25:02.264370	24	1	4	26
2019-09-21 08:30:01.942215	24	1	4	26
2019-09-21 08:35:01.599139	24	1	4	26
2019-09-21 08:40:02.439677	23	2	4	26
2019-09-21 08:45:02.096651	22	3	4	26
2019-09-21 08:50:01.822515	22	3	4	26
2019-09-21 08:55:02.485945	22	3	4	26
2019-09-21 09:00:02.454819	22	3	4	26
2019-09-21 09:05:02.205478	21	4	4	26
2019-09-21 09:10:02.026073	21	4	4	26
2019-09-21 09:15:01.707766	21	4	4	26
2019-09-21 09:20:02.483545	21	4	4	26
2019-09-21 09:25:02.154612	21	4	4	26
2019-09-21 09:30:01.833224	21	4	4	26
2019-09-21 09:35:02.506324	21	4	4	26
2019-09-21 09:40:02.432298	19	6	4	26
2019-09-21 09:45:02.102606	19	6	4	26
2019-09-21 09:50:01.722419	19	6	4	26
2019-09-21 09:55:02.323339	20	5	4	26
2019-09-21 19:00:01.711050	6	19	4	26
2019-09-21 19:05:02.525221	6	19	4	26
2019-09-21 19:10:02.240785	5	20	4	26
2019-09-21 19:15:01.859700	3	22	4	26
2019-09-21 19:20:02.559263	3	22	4	26
2019-09-21 19:25:02.239556	5	20	4	26
2019-09-21 19:30:01.919181	5	20	4	26
2019-09-21 19:35:01.602054	5	20	4	26
2019-09-21 19:40:02.404558	6	19	4	26
2019-09-21 19:45:02.076318	7	18	4	26
2019-09-21 19:50:01.744296	9	16	4	26
2019-09-21 19:55:27.350544	9	16	4	26
2019-09-21 20:00:02.073913	13	12	4	26
2019-09-21 20:05:01.687758	14	11	4	26
2019-09-21 20:10:02.461616	14	11	4	26
2019-09-21 20:15:02.127757	12	13	4	26
2019-09-21 20:20:01.844361	12	13	4	26
2019-09-21 20:25:02.509800	11	14	4	26
2019-09-21 20:30:02.158088	10	15	4	26
2019-09-21 20:35:01.814549	10	15	4	26
2019-09-21 20:40:02.586193	9	16	4	26
2019-09-21 20:45:02.302787	11	14	4	26
2019-09-21 20:50:01.958616	11	14	4	26
2019-09-21 20:55:01.616327	13	12	4	26
2019-09-21 21:00:27.354229	11	14	4	26
2019-09-21 21:05:01.961682	10	15	4	26
2019-09-21 21:10:01.722306	10	15	4	26
2019-09-21 21:15:02.495727	11	14	4	26
2019-09-21 21:20:02.208142	11	14	4	26
2019-09-21 21:25:01.849872	10	15	4	26
2019-09-21 21:30:02.504277	11	14	4	26
2019-09-21 21:35:02.222460	11	14	4	26
2019-09-21 21:40:02.023364	12	13	4	26
2019-09-21 21:45:01.751089	12	13	4	26
2019-09-21 21:50:02.392201	13	12	4	26
2019-09-21 21:55:02.059866	13	12	4	26
2019-09-22 07:00:02.545655	25	0	3	27
2019-09-22 07:05:02.217752	25	0	3	27
2019-09-22 07:10:01.968971	25	0	3	27
2019-09-22 07:15:01.694522	25	0	3	27
2019-09-22 07:20:02.480937	25	0	3	27
2019-09-22 07:25:02.195038	25	0	3	27
2019-09-22 07:30:01.885277	25	0	3	27
2019-09-22 07:35:02.546507	25	0	3	27
2019-09-22 07:40:02.387436	25	0	3	27
2019-09-22 07:45:02.148198	25	0	3	27
2019-09-22 07:50:01.848169	24	1	3	27
2019-09-22 07:55:02.525408	24	1	3	27
2019-09-22 08:00:02.323851	24	1	3	27
2019-09-22 08:05:02.035341	24	1	3	27
2019-09-22 08:10:01.852303	23	2	3	27
2019-09-22 08:15:02.514036	23	2	3	27
2019-09-22 08:20:02.256171	23	2	3	27
2019-09-22 08:25:01.940108	23	2	3	27
2019-09-22 08:30:01.634345	23	2	3	27
2019-09-22 08:35:02.339734	23	2	3	27
2019-09-22 08:40:02.146108	23	2	3	27
2019-09-22 08:45:01.858791	22	3	3	27
2019-09-22 08:50:02.582026	21	4	3	27
2019-09-22 08:55:02.238039	21	4	3	27
2019-09-22 09:00:01.966478	20	5	3	27
2019-09-22 09:05:01.668885	20	5	3	27
2019-09-22 09:10:02.476715	20	5	3	27
2019-09-22 09:15:02.158299	20	5	3	27
2019-09-22 09:20:01.904338	20	5	3	27
2019-09-22 09:25:01.590467	20	5	3	27
2019-09-22 09:30:02.333360	21	4	3	27
2019-09-22 09:35:02.060529	21	4	3	27
2019-09-22 09:40:01.871563	21	4	3	27
2019-09-22 09:45:02.525447	21	4	3	27
2019-09-22 09:50:02.199463	21	4	3	27
2019-09-22 09:55:01.899029	20	5	3	27
2019-09-22 19:00:02.083512	5	20	3	27
2019-09-22 19:05:01.871623	5	20	3	27
2019-09-22 19:10:01.636176	5	20	3	27
2019-09-22 19:15:02.333271	4	21	3	27
2019-09-22 19:20:02.106924	5	20	3	27
2019-09-22 19:25:01.793094	5	20	3	27
2019-09-22 19:30:02.498372	5	20	3	27
2019-09-22 19:35:02.163823	5	20	3	27
2019-09-22 19:40:02.008889	5	20	3	27
2019-09-22 19:45:01.681002	6	19	3	27
2019-09-22 19:50:02.367520	7	18	3	27
2019-09-22 19:55:02.081866	8	17	3	27
2019-09-22 20:00:01.822546	9	16	3	27
2019-09-22 20:05:02.497892	9	16	3	27
2019-09-22 20:10:02.258146	8	17	3	27
2019-09-22 20:15:02.083547	8	17	3	27
2019-09-22 20:20:01.879862	8	17	3	27
2019-09-22 20:25:02.551288	8	17	3	27
2019-09-22 20:30:02.276655	8	17	3	27
2019-09-22 20:35:01.958159	7	18	3	27
2019-09-22 20:40:01.777144	7	18	3	27
2019-09-22 20:45:02.493400	7	18	3	27
2019-09-22 20:50:02.157904	6	19	3	27
2019-09-22 20:55:01.841002	4	21	3	27
2019-09-22 21:00:02.627375	2	23	3	27
2019-09-22 21:05:02.319304	2	23	3	27
2019-09-22 21:10:02.096625	1	24	3	27
2019-09-22 21:15:01.780932	1	24	3	27
2019-09-22 21:20:02.552641	1	24	3	27
2019-09-22 21:25:02.262860	1	24	3	27
2019-09-22 21:30:01.977589	1	24	3	27
2019-09-22 21:35:01.636583	1	24	3	27
2019-09-22 21:40:02.421048	3	22	3	27
2019-09-22 21:45:02.066639	3	22	3	27
2019-09-22 21:50:01.732991	3	22	3	27
2019-09-22 21:55:02.419998	3	22	3	27
2019-09-23 07:00:01.789618	25	0	8	22
2019-09-23 07:05:02.588688	25	0	8	22
2019-09-23 07:10:02.432070	25	0	8	22
2019-09-23 07:15:02.127809	24	1	9	21
2019-09-23 07:20:01.853741	25	0	9	21
2019-09-23 07:25:02.557741	25	0	9	21
2019-09-23 07:30:02.258196	24	1	9	21
2019-09-23 07:35:01.914889	22	3	10	20
2019-09-23 07:40:01.789564	19	6	10	20
2019-09-23 07:45:02.500086	18	7	10	20
2019-09-23 07:50:02.226140	16	9	12	18
2019-09-23 07:55:02.429997	14	11	15	15
2019-09-23 08:00:02.300952	13	12	20	10
2019-09-23 08:05:02.174195	11	14	26	4
2019-09-23 08:10:01.976003	12	13	29	1
2019-09-23 08:15:01.747302	9	16	30	0
2019-09-23 08:20:02.542512	6	19	30	0
2019-09-23 08:25:02.221198	2	23	30	0
2019-09-23 08:30:01.879602	2	23	30	0
2019-09-23 08:35:01.593965	1	24	30	0
2019-09-23 08:40:02.504438	1	24	30	0
2019-09-23 08:45:02.235033	1	24	30	0
2019-09-23 08:50:01.987571	1	24	30	0
2019-09-23 08:55:01.729170	1	24	30	0
2019-09-23 09:00:02.418211	2	23	30	0
2019-09-23 09:05:02.128381	1	24	30	0
2019-09-23 09:10:02.023445	1	24	30	0
2019-09-23 09:15:01.702555	3	22	30	0
2019-09-23 09:20:02.484882	1	24	30	0
2019-09-23 09:25:02.156469	1	24	30	0
2019-09-23 09:30:01.822221	1	24	30	0
2019-09-23 09:35:02.474173	1	24	29	1
2019-09-23 09:40:02.255801	1	24	29	1
2019-09-23 09:45:01.949011	1	24	29	1
2019-09-23 09:50:01.637951	0	25	29	1
2019-09-23 09:55:02.256568	1	24	28	2
2019-09-23 19:00:02.602580	13	12	1	28
2019-09-23 19:05:02.340301	17	8	1	29
2019-09-23 19:10:02.303733	15	10	0	30
